sensor_type,event_timestamp_ns,elapsed_realtime_ns,wall_time_ms,x,y,z,accuracy
android.sensor.gyroscope,511446604430674,511446684186714,1773454771003,-3.054324E-4,-0.0010690134,-3.054324E-4,3
android.sensor.gyroscope,511446609181612,511446684644526,1773454771003,-3.054324E-4,-0.0010690134,-3.054324E-4,3
android.sensor.gyroscope,511446613932497,511446684832755,1773454771003,-0.0015271619,1.527162E-4,-3.054324E-4,3
android.sensor.gyroscope,511446618683383,511446685085412,1773454771004,9.162972E-4,-0.0010690134,9.162972E-4,3
android.sensor.accelerometer,511446607897810,511446685271505,1773454771004,0.08973085,-0.0634098,9.867402,3
android.sensor.accelerometer,511446617399581,511446685450620,1773454771004,0.07776674,-0.032303106,9.853045,3
android.sensor.gyroscope,511446623434268,511446685623589,1773454771004,9.162972E-4,1.527162E-4,-3.054324E-4,3
android.sensor.gyroscope,511446628185154,511446685847860,1773454771004,-3.054324E-4,1.527162E-4,-3.054324E-4,3
android.sensor.gyroscope,511446632936039,511446686094162,1773454771005,-3.054324E-4,1.527162E-4,-3.054324E-4,3
android.sensor.gyroscope,511446637686924,511446686318797,1773454771005,-3.054324E-4,1.527162E-4,-3.054324E-4,3
android.sensor.accelerometer,511446626901351,511446687076870,1773454771006,0.101694964,-0.0849452,9.865009,3
android.sensor.accelerometer,511446636403122,511446687291610,1773454771006,0.104087785,-0.0849452,9.867402,3
android.sensor.gyroscope,511446642437862,511446687532860,1773454771006,9.162972E-4,1.527162E-4,-3.054324E-4,3
android.sensor.gyroscope,511446647188747,511446687730776,1773454771006,-3.054324E-4,1.527162E-4,9.162972E-4,3
android.sensor.gyroscope,511446651939633,511446687920203,1773454771007,-3.054324E-4,1.527162E-4,-3.054324E-4,3
android.sensor.gyroscope,511446656690518,511446688092287,1773454771007,-3.054324E-4,1.527162E-4,9.162972E-4,3
android.sensor.accelerometer,511446645904945,511446688273432,1773454771007,0.104087785,-0.104087785,9.869795,3
android.sensor.accelerometer,511446655406716,511446688437235,1773454771007,0.101694964,-0.13280165,9.88176,3
android.sensor.gyroscope,511446661441404,511446688607130,1773454771007,-3.054324E-4,1.527162E-4,-3.054324E-4,3
android.sensor.gyroscope,511446666192289,511446688778016,1773454771007,9.162972E-4,1.527162E-4,-3.054324E-4,3
android.sensor.gyroscope,511446670943226,511446688957755,1773454771008,-3.054324E-4,1.527162E-4,-0.0015271619,3
android.sensor.accelerometer,511446664908487,511446689200307,1773454771008,0.10887343,-0.12562318,9.84826,3
android.sensor.gyroscope,511446675694112,511446689376037,1773454771008,-3.054324E-4,-0.0010690134,9.162972E-4,3
android.sensor.gyroscope,511446680444997,511446689553537,1773454771008,-3.054324E-4,1.527162E-4,-3.054324E-4,3
android.sensor.gyroscope,511446685195883,511446692112443,1773454771011,-3.054324E-4,1.527162E-4,-3.054324E-4,3
android.sensor.gyroscope,511446689946768,511446757959578,1773454771077,-3.054324E-4,1.527162E-4,-3.054324E-4,3
android.sensor.gyroscope,511446694697654,511446758655203,1773454771077,0.0021380268,1.527162E-4,-3.054324E-4,3
android.sensor.accelerometer,511446674410310,511446758839057,1773454771077,0.1160519,-0.096909314,9.865009,3
android.sensor.accelerometer,511446683912081,511446759005724,1773454771078,0.104087785,-0.0849452,9.869795,3
android.sensor.accelerometer,511446693413851,511446759188693,1773454771078,0.11365908,-0.08733802,9.862617,3
android.sensor.gyroscope,511446699448591,511446759633953,1773454771078,9.162972E-4,0.0013744457,-0.0015271619,3
android.sensor.gyroscope,511446704199476,511446759870985,1773454771079,9.162972E-4,0.0013744457,-3.054324E-4,3
android.sensor.gyroscope,511446708950362,511446760047026,1773454771079,9.162972E-4,1.527162E-4,-0.0015271619,3
android.sensor.gyroscope,511446713701247,511446760305620,1773454771079,-3.054324E-4,1.527162E-4,9.162972E-4,3
android.sensor.accelerometer,511446702915674,511446760469370,1773454771079,0.104087785,-0.039481573,9.836296,3
android.sensor.accelerometer,511446712417445,511446760631922,1773454771079,0.096909314,-0.051445685,9.876974,3
android.sensor.gyroscope,511446718452133,511446760864630,1773454771080,9.162972E-4,1.527162E-4,-3.054324E-4,3
android.sensor.gyroscope,511446723203018,511446761071037,1773454771080,9.162972E-4,-0.0010690134,9.162972E-4,3
android.sensor.gyroscope,511446727953904,511446761235360,1773454771080,-3.054324E-4,1.527162E-4,-3.054324E-4,3
android.sensor.gyroscope,511446732704841,511446762812182,1773454771081,9.162972E-4,0.0013744457,9.162972E-4,3
android.sensor.accelerometer,511446721919216,511446763046870,1773454771082,0.08015956,-0.07298109,9.865009,3
android.sensor.accelerometer,511446731421039,511446763383797,1773454771082,0.06819545,-0.05623133,9.838689,3
android.sensor.gyroscope,511446737455726,511446763672287,1773454771082,-3.054324E-4,1.527162E-4,-0.0015271619,3
android.sensor.gyroscope,511446742206612,511446771827651,1773454771090,-3.054324E-4,-0.0010690134,9.162972E-4,3
android.sensor.gyroscope,511446746957497,511446773378328,1773454771092,9.162972E-4,1.527162E-4,-0.0015271619,3
android.sensor.gyroscope,511446751708383,511446774528432,1773454771093,-3.054324E-4,1.527162E-4,9.162972E-4,3
android.sensor.accelerometer,511446740922810,511446774848224,1773454771093,0.0634098,-0.0634098,9.869795,3
android.sensor.accelerometer,511446750424581,511446775026922,1773454771094,0.08973085,-0.022731815,9.845867,3
android.sensor.gyroscope,511446756459268,511446776433641,1773454771095,-3.054324E-4,1.527162E-4,-0.0015271619,3
android.sensor.gyroscope,511446761210154,511446776870776,1773454771096,9.162972E-4,-0.0010690134,9.162972E-4,3
android.sensor.gyroscope,511446765961091,511446777077651,1773454771096,9.162972E-4,1.527162E-4,-3.054324E-4,3
android.sensor.gyroscope,511446770711976,511446777747235,1773454771096,-3.054324E-4,1.527162E-4,0.0021380268,3
android.sensor.gyroscope,511446775462862,511446787801557,1773454771106,-3.054324E-4,1.527162E-4,-3.054324E-4,3
android.sensor.accelerometer,511446759926351,511446788174422,1773454771107,0.07537391,-0.025124637,9.876974,3
android.sensor.accelerometer,511446769428174,511446788363797,1773454771107,0.07298109,-0.039481573,9.862617,3
android.sensor.gyroscope,511446780213747,511446788557703,1773454771107,-3.054324E-4,1.527162E-4,9.162972E-4,3
android.sensor.gyroscope,511446784964633,511446796832182,1773454771115,-3.054324E-4,1.527162E-4,-3.054324E-4,3
android.sensor.accelerometer,511446778929945,511446797285880,1773454771116,0.09212367,-0.05383851,9.841082,3
android.sensor.gyroscope,511446789715518,511446809008797,1773454771128,-3.054324E-4,1.527162E-4,-3.054324E-4,3
android.sensor.accelerometer,511446788431716,511446809822547,1773454771128,0.0849452,-0.0634098,9.872188,3
android.sensor.gyroscope,511446794466456,511446810444110,1773454771129,-3.054324E-4,1.527162E-4,-3.054324E-4,3
android.sensor.gyroscope,511446799217341,511446810640828,1773454771129,-3.054324E-4,1.527162E-4,9.162972E-4,3
android.sensor.accelerometer,511446797933539,511446812347130,1773454771131,0.09451649,-0.07298109,9.83151,3
android.sensor.gyroscope,511446803968226,511446874494682,1773454771193,9.162972E-4,-0.0010690134,-3.054324E-4,3
android.sensor.gyroscope,511446808719112,511446874712860,1773454771193,-3.054324E-4,-0.0010690134,9.162972E-4,3
android.sensor.accelerometer,511446807435310,511446874783224,1773454771193,0.07298109,-0.06580263,9.884152,3
android.sensor.gyroscope,511446813469997,511446874887807,1773454771194,9.162972E-4,1.527162E-4,-0.0015271619,3
android.sensor.gyroscope,511446818220883,511446875051714,1773454771194,-3.054324E-4,0.0013744457,0.0021380268,3
android.sensor.accelerometer,511446816937081,511446875578901,1773454771194,0.10887343,-0.061016977,9.853045,3
android.sensor.gyroscope,511446822971768,511446876198172,1773454771195,-3.054324E-4,1.527162E-4,-3.054324E-4,3
android.sensor.gyroscope,511446827722706,511446876262443,1773454771195,-3.054324E-4,-0.0010690134,9.162972E-4,3
android.sensor.accelerometer,511446826438904,511446876313120,1773454771195,0.08733802,-0.07298109,9.850653,3
android.sensor.gyroscope,511446832473591,511446876554839,1773454771195,9.162972E-4,1.527162E-4,-0.0015271619,3
android.sensor.gyroscope,511446837224476,511446882917599,1773454771202,9.162972E-4,1.527162E-4,-3.054324E-4,3
android.sensor.accelerometer,511446835940674,511446884967287,1773454771204,0.101694964,-0.09212367,9.853045,3
android.sensor.gyroscope,511446841975362,511446885073589,1773454771204,-3.054324E-4,-0.0010690134,-0.0015271619,3
android.sensor.gyroscope,511446846726247,511446885202807,1773454771204,-3.054324E-4,0.0013744457,0.0021380268,3
android.sensor.accelerometer,511446845442445,511446885407235,1773454771204,0.096909314,-0.10887343,9.862617,3
android.sensor.gyroscope,511446851477133,511446885546557,1773454771204,-3.054324E-4,1.527162E-4,-3.054324E-4,3
android.sensor.gyroscope,511446856228018,511446886534735,1773454771205,9.162972E-4,-0.0010690134,9.162972E-4,3
android.sensor.accelerometer,511446854944216,511446890894422,1773454771210,0.101694964,-0.09212367,9.872188,3
android.sensor.gyroscope,511446860978956,511446890963276,1773454771210,9.162972E-4,1.527162E-4,-3.054324E-4,3
android.sensor.gyroscope,511446865729841,511446891014162,1773454771210,-3.054324E-4,1.527162E-4,9.162972E-4,3
android.sensor.accelerometer,511446864446039,511446891059370,1773454771210,0.101694964,-0.0634098,9.841082,3
android.sensor.gyroscope,511446870480726,511446891120464,1773454771210,-3.054324E-4,1.527162E-4,-3.054324E-4,3
android.sensor.gyroscope,511446875231612,511446933365412,1773454771252,-3.054324E-4,-0.0010690134,9.162972E-4,3
android.sensor.accelerometer,511446873947810,511446934481193,1773454771253,0.096909314,-0.06580263,9.865009,3
android.sensor.gyroscope,511446879982497,511446934824057,1773454771253,-3.054324E-4,-0.0010690134,9.162972E-4,3
android.sensor.gyroscope,511446884733383,511446934996141,1773454771254,9.162972E-4,0.0013744457,9.162972E-4,3
android.sensor.accelerometer,511446883449581,511446935234526,1773454771254,0.09930214,-0.07058827,9.865009,3
android.sensor.gyroscope,511446889484268,511446935451193,1773454771254,-3.054324E-4,1.527162E-4,-0.0015271619,3
android.sensor.gyroscope,511446894235206,511446935621609,1773454771254,9.162972E-4,0.0013744457,-3.054324E-4,3
android.sensor.accelerometer,511446892951404,511446935784734,1773454771254,0.06819545,-0.0634098,9.869795,3
android.sensor.gyroscope,511446898986091,511446935945359,1773454771255,9.162972E-4,-0.0010690134,-3.054324E-4,3
android.sensor.gyroscope,511446903736976,511446936119682,1773454771255,-3.054324E-4,0.0013744457,9.162972E-4,3
android.sensor.accelerometer,511446902453174,511446936279891,1773454771255,0.07776674,-0.06819545,9.857831,3
android.sensor.gyroscope,511446908487862,511446936439214,1773454771255,-3.054324E-4,-0.0010690134,-3.054324E-4,3
android.sensor.gyroscope,511446913238747,511446936603641,1773454771255,9.162972E-4,-0.0010690134,-3.054324E-4,3
android.sensor.accelerometer,511446911954945,511446936817078,1773454771255,0.106480606,-0.07298109,9.862617,3
android.sensor.gyroscope,511446917989633,511446936990099,1773454771256,9.162972E-4,1.527162E-4,-0.0015271619,3
